"SUB_TYPE","EVENT_MONTH","AMPLIFIED_SOUND_DISTRICT","EVENT_YEAR","CAPACITY","DECIBEL_LEVEL","END_HOURS_CONC_POUR_MON_SAT","END_HOURS_NEAR_HOME_FRI_SAT","END_HOURS_NEAR_HOME_SUN_THUR","END_HOURS_NOT_NEAR_HOME","EXISTING_ZONING","EXPIRATION_DATE","IN_DATE","ISSUE_DATE","ISSUED_BY","OMV_FRI_END_TIME","OMV_FRI_START_TIME","OMV_MON_END_TIME","OMV_MON_START_TIME","OMV_SAT_END_TIME","OMV_SAT_START_TIME","OMV_SUN_END_TIME","OMV_SUN_START_TIME","OMV_THU_END_TIME","OMV_THU_START_TIME","OMV_TUE_END_TIME","OMV_TUE_START_TIME","OMV_WED_END_TIME","OMV_WED_START_TIME","REST_51_PERCENT_FOOD_SALES","SQUARE_FOOTAGE","START_DATE","MULTIPLE_START_DATES","START_HOURS_CONC_POUR_MON_SAT","START_HOURS_NEAR_HOME_FRI_SAT","START_HOURS_NEAR_HOME_SUN_THUR","START_HOURS_NOT_NEAR_HOME","STATUS","STREET_ADDRESS","ZIPCODE","LATITUDE","LONGITUDE","COUNCIL_DISTRICT","time_diff","in_mon","issue_mon","in_year","issue_year"
"Outdoor Music Venue",NA,"Residential",2016,54,70,NA,NA,NA,NA,"CS-1",NA,2016-02-04,2016-03-02,"Viktor Auzenne","22","10","20","10","22","10","20","10","20","10","20","10","20","10","No",817,NA,FALSE,NA,NA,NA,NA,"Expired","CESAR CHAVEZ ST","78702",30.25652851,-97.72323287,3,27,"February","March","2016","2016"
"Outdoor Music Venue",NA,"Residential",2018,NA,85,NA,NA,NA,NA,"TOD",NA,2018-02-28,2018-03-28,"Bryan Walker","00","10","22","10","00","10","22","10","22","10","22","10","22","10","No",2100,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78702",30.26202979,-97.72258671,3,27.9583333333333,"February","March","2018","2018"
"Outdoor Music Venue",NA,"6th",2021,NA,85,NA,NA,NA,NA,"CBD",NA,2021-12-29,2022-02-28,"Bryan Walker","02","10","02","10","02","10","02","10","02","10","02","10","02","10","No",1,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78701",30.26732068,-97.73893254,9,61,"December","February","2021","2022"
"Concrete Pouring","SEPTEMBER","Unknown",2019,NA,NA,7,NA,NA,NA,"CBD","2019-09-12",2019-08-20,2019-08-21,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-09-09",FALSE,0,NA,NA,NA,"Expired","BRAZOS ST","78701",30.26697836,-97.74145118,9,1,"August","August","2019","2019"
"Concrete Pouring","FEBRUARY","Unknown",2018,NA,NA,6,NA,NA,NA,"CBD","2018-02-21",2018-02-16,2018-02-16,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-02-19",FALSE,0,NA,NA,NA,"Expired","GUADALUPE ST","78701",30.26748758,-97.74664336,9,0,"February","February","2018","2018"
"Concrete Pouring","SEPTEMBER","Unknown",2009,NA,NA,6,NA,NA,NA,"CBD","2009-09-10",2009-05-29,2009-06-02,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-09-07",FALSE,19,NA,NA,NA,"Expired","LAVACA ST","78701",30.26533402,-97.74664086,9,4,"May","June","2009","2009"
"Concrete Pouring","MARCH","Unknown",2017,NA,NA,6,NA,NA,NA,"CBD","2017-03-02",2017-02-24,2017-02-24,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-03-01",FALSE,0,NA,NA,NA,"Expired","WEST AVE","78701",30.26952957,-97.75052242,9,0,"February","February","2017","2017"
"Private Sound Amplification","APRIL","Residential",2019,NA,85,NA,22,NA,NA,"CS-MU-V-CO-NP","2019-04-26",2019-04-15,2019-04-17,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-04-26",FALSE,NA,18,NA,NA,"Expired","BURNET RD","78756",30.31897441,-97.73891006,7,2,"April","April","2019","2019"
"Outdoor Music Venue",NA,"6th",2018,NA,85,NA,NA,NA,NA,"CBD",NA,2018-05-15,2018-07-20,"Bryan Walker","02","10","02","10","02","10","02","10","02","10","02","10","02","10","No",2500,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78701",30.26733296,-97.73899558,9,66,"May","July","2018","2018"
"Concrete Pouring","JUNE","Unknown",2020,NA,NA,6,NA,NA,NA,"CBD","2020-06-12",2020-06-09,2020-06-09,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-06-10",FALSE,0,NA,NA,NA,"Expired","EAST AVE","78701",30.2563889,-97.7388366,9,0,"June","June","2020","2020"
"Concrete Pouring","AUGUST","Unknown",2023,NA,NA,7,NA,NA,NA,"CBD","2023-08-03",2023-08-02,2023-08-02,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-03",FALSE,2,NA,NA,NA,"Expired","RAINEY ST","78701",30.25922859,-97.73890286,9,0,"August","August","2023","2023"
"Concrete Pouring","JUNE","Unknown",2014,NA,NA,6,NA,NA,NA,"CBD","2014-06-15",2014-06-13,2014-06-13,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-13",FALSE,0,NA,NA,NA,"Expired","COLORADO ST","78701",30.26586964,-97.74483634,9,0,"June","June","2014","2014"
"Outdoor Music Venue",NA,"Warehouse",2020,NA,70,NA,NA,NA,NA,"CBD",NA,2020-05-06,2020-06-16,"Bryan Walker","02","10","02","10","02","10","02","10","02","10","02","10","02","10","Yes",6396,NA,FALSE,NA,NA,NA,NA,"Expired","4TH ST","78701",30.26633618,-97.74464956,9,41,"May","June","2020","2020"
"Concrete Pouring","FEBRUARY","Unknown",2023,NA,NA,7,NA,NA,NA,"CBD","2023-02-09",2023-02-08,2023-02-08,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-02-09",FALSE,0,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26001067,-97.74003826,9,0,"February","February","2023","2023"
"Concrete Pouring","JUNE","Unknown",2014,NA,NA,6,NA,NA,NA,"CBD","2014-06-19",2014-06-17,2014-06-17,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-18",FALSE,0,NA,NA,NA,"Expired","COLORADO ST","78701",30.26586964,-97.74483634,9,0,"June","June","2014","2014"
"Concrete Pouring","JANUARY","Unknown",2024,NA,NA,7,NA,NA,NA,"CBD","2024-01-12",2024-01-11,2024-01-11,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-01-12",FALSE,0,NA,NA,NA,"Expired","RIVER ST","78701",30.25779098,-97.73853596,9,0,"January","January","2024","2024"
"Concrete Pouring","JULY","Unknown",2022,NA,NA,6,NA,NA,NA,"CBD","2022-07-29",2022-07-27,2022-07-27,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-07-28",FALSE,0,NA,NA,NA,"Expired","RED RIVER ST","78701",30.27196235,-97.73495155,9,0,"July","July","2022","2022"
"Outdoor Music Venue",NA,"Other",2017,NA,85,NA,NA,NA,NA,"CBD",NA,2017-08-02,2017-11-03,"Bryan Walker","00","10","22","10","00","10","22","10","23","10","22","10","22","10","No",5500,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78701",30.27002311,-97.75044743,9,93,"August","November","2017","2017"
"Concrete Pouring","NOVEMBER","Unknown",2023,NA,NA,7,NA,NA,NA,"CBD","2023-11-15",2023-11-13,2023-11-13,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-15",FALSE,0,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26165379,-97.73914502,9,0,"November","November","2023","2023"
"Outdoor Music Venue",NA,"6th",2014,1,85,NA,NA,NA,NA,"CBD",NA,2014-02-28,2014-05-13,"Viktor Auzenne","02","10","02","10","02","10","02","10","02","10","02","10","02","10","No",1,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78701",30.26760113,-97.74015122,9,73.9583333333333,"February","May","2014","2014"
"Concrete Pouring","DECEMBER","Unknown",2020,NA,NA,7,NA,NA,NA,"CBD","2020-12-04",2020-12-02,2020-12-02,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-12-03",FALSE,0,NA,NA,NA,"Expired","EAST AVE","78701",30.25594069,-97.73893318,9,0,"December","December","2020","2020"
"Concrete Pouring","OCTOBER","Unknown",2013,NA,NA,6,NA,NA,NA,"CBD","2013-10-17",2013-10-14,2013-10-14,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-10-15",FALSE,0,NA,NA,NA,"Expired","COLORADO ST","78701",30.26586964,-97.74483634,9,0,"October","October","2013","2013"
"Government Amplified Sound","OCTOBER","Other",2010,NA,85,NA,NA,NA,23,"PUD","2010-10-22",2010-08-06,2010-08-06,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-10-22",FALSE,NA,NA,NA,18,"Expired","MUELLER BLVD","78723",30.29720616,-97.7073439,9,0,"August","August","2010","2010"
"Outdoor Music Venue",NA,"Other",2018,NA,85,NA,NA,NA,NA,"GR",NA,2018-06-15,2018-08-10,"Bryan Walker","00","10","22","10","00","10","22","10","23","10","22","10","22","10","No",5077,NA,FALSE,NA,NA,NA,NA,"Expired","SB IH 35 SVRD","78748",30.16291061,-97.79312325,5,56,"June","August","2018","2018"
"Outdoor Music Venue",NA,"Residential",2018,NA,75,NA,NA,NA,NA,"CS",NA,2018-08-07,2018-10-02,"Bryan Walker","22","10","20","10","22","10","20","10","20","10","20","10","20","10","No",2300,NA,FALSE,NA,NA,NA,NA,"Expired","CARDINAL LN","78704",30.23256808,-97.76752434,3,56,"August","October","2018","2018"
"Outdoor Music Venue",NA,"Other",2019,NA,85,NA,NA,NA,NA,"CS",NA,2019-05-28,2019-08-08,"Bryan Walker","20","10","20","10","20","10","20","10","22","10","20","10","20","10","Yes",2770,NA,FALSE,NA,NA,NA,NA,"Expired","BARTON SPRINGS RD","78704",30.26278314,-97.76201546,9,72,"May","August","2019","2019"
"Concrete Pouring","MARCH","Unknown",2023,NA,NA,7,NA,NA,NA,"CBD","2023-03-17",2023-03-13,2023-03-13,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-03-17",FALSE,0,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26165379,-97.73914502,9,0,"March","March","2023","2023"
"Concrete Pouring","MAY","Unknown",2018,NA,NA,6,NA,NA,NA,"CBD","2018-05-27",2018-05-23,2018-05-23,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-05-25",FALSE,0,NA,NA,NA,"Expired","RAINEY ST","78701",30.25839263,-97.73904571,9,0,"May","May","2018","2018"
"Advertising Sound Amplification","MARCH","Other",2019,NA,85,NA,NA,NA,23,"CBD","2019-03-10",2019-03-05,2019-03-07,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-03-08",TRUE,NA,NA,NA,11,"Expired","RED RIVER ST","78701",30.26440152,-97.73779432,9,2,"March","March","2019","2019"
"Outdoor Music Venue",NA,"Warehouse",2012,115,85,NA,NA,NA,NA,"CBD",NA,2012-10-04,2012-10-31,"Viktor Auzenne","02","10","02","10","02","10","02","10","02","10","02","10","02","10","No",2200,NA,FALSE,NA,NA,NA,NA,"Expired","CONGRESS AVE","78701",30.26686272,-97.74375777,9,27,"October","October","2012","2012"
"Concrete Pouring","AUGUST","Unknown",2009,NA,NA,6,NA,NA,NA,"CBD","2009-08-08",2009-05-29,2009-06-02,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-08-05",FALSE,19,NA,NA,NA,"Expired","LAVACA ST","78701",30.26533402,-97.74664086,9,4,"May","June","2009","2009"
"Concrete Pouring","MAY","Unknown",2023,NA,NA,7,NA,NA,NA,"CBD","2023-05-15",2023-05-12,2023-05-12,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-05-15",FALSE,0,NA,NA,NA,"Expired","DAVIS ST","78701",30.26035802,-97.7385842,9,0,"May","May","2023","2023"
"Outdoor Music Venue",NA,"Other",2016,106,70,NA,NA,NA,NA,"CS-1",NA,2016-02-24,2016-03-17,"Viktor Auzenne","22","10","21","10","22","10","21","10","21","10","21","10","21","10","Yes",2275,NA,FALSE,NA,NA,NA,NA,"Expired","CONGRESS AVE","78704",30.25034032,-97.7491492,9,21.9583333333333,"February","March","2016","2016"
"Advertising Sound Amplification","OCTOBER","Other",2014,NA,85,NA,NA,NA,17,"GR","2014-10-11",2014-08-22,2014-09-19,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-10-11",FALSE,NA,NA,NA,12,"Expired","NB RESEARCH BLVD SVRD","78759",30.41842572,-97.74605834,6,28,"August","September","2014","2014"
"Government Amplified Sound","JANUARY","Other",2013,NA,85,NA,NA,NA,14,"PUD","2013-01-19",2013-01-16,2013-01-17,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-01-19",FALSE,NA,NA,NA,10,"Expired","RIVERSIDE DR","78704",30.25952831,-97.74869734,9,1,"January","January","2013","2013"
"Concrete Pouring","JANUARY","Unknown",2020,NA,NA,6,NA,NA,NA,"CBD","2020-01-26",2020-01-13,2020-01-14,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-01-24",FALSE,3,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26080367,-97.73886053,9,1,"January","January","2020","2020"
"Outdoor Music Venue",NA,"Residential",2022,NA,80,NA,NA,NA,NA,"CBD",NA,2022-05-27,2022-09-02,"Bryan Walker","22","10","20","10","22","10","20","10","20","10","20","10","20","10","No",4130,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78701",30.27002512,-97.74931936,9,98,"May","September","2022","2022"
"Concrete Pouring","SEPTEMBER","Unknown",2014,NA,NA,6,NA,NA,NA,"CBD","2014-09-13",2014-09-09,2014-09-09,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-09-12",FALSE,0,NA,NA,NA,"Expired","CESAR CHAVEZ ST","78701",30.26530206,-97.75078285,9,0,"September","September","2014","2014"
"Concrete Pouring","MARCH","Unknown",2023,NA,NA,7,NA,NA,NA,"CBD","2023-03-13",2023-03-09,2023-03-10,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-03-13",FALSE,3,NA,NA,NA,"Expired","RIVER ST","78701",30.25779098,-97.73853596,9,1,"March","March","2023","2023"
"Concrete Pouring","DECEMBER","Unknown",2024,NA,NA,7,NA,NA,NA,"CBD","2024-12-11",2024-12-10,2024-12-10,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-11",FALSE,0,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26001067,-97.74003826,9,0,"December","December","2024","2024"
"Concrete Pouring","JULY","Unknown",2020,NA,NA,6,NA,NA,NA,"CBD","2020-07-31",2020-07-29,2020-07-29,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-07-30",FALSE,0,NA,NA,NA,"Expired","GUADALUPE ST","78701",30.26933058,-97.74638485,9,0,"July","July","2020","2020"
"Concrete Pouring","FEBRUARY","Unknown",2016,NA,NA,2,NA,NA,NA,"CBD","2016-02-26",2016-02-18,2016-02-18,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-23",FALSE,19,NA,NA,NA,"Expired","7TH ST","78701",30.2687184,-97.7420857,9,0,"February","February","2016","2016"
"Advertising Sound Amplification","FEBRUARY","Residential",2016,NA,80,NA,18,NA,NA,"SF-3","2016-02-27",2016-02-23,2016-02-24,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-27",FALSE,NA,12,NA,NA,"Expired","EMBASSY DR","78702",30.26713049,-97.7322648,1,1,"February","February","2016","2016"
"Concrete Pouring","SEPTEMBER","Unknown",2023,NA,NA,7,NA,NA,NA,"CBD","2023-09-25",2023-09-22,2023-09-22,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-25",FALSE,0,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26165379,-97.73914502,9,0,"September","September","2023","2023"
"Concrete Pouring","JANUARY","Unknown",2017,NA,NA,6,NA,NA,NA,"CBD","2018-01-06",2017-12-27,2017-12-27,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-04",FALSE,0,NA,NA,NA,"Expired","3RD ST","78701",30.26679585,-97.74998246,9,0,"December","December","2017","2017"
"Outdoor Music Venue",NA,"Other",2013,181,85,NA,NA,NA,NA,"TOD",NA,2013-02-05,2013-03-07,"Viktor Auzenne","00","10","22","10","00","10","22","10","23","10","22","10","22","10","No",1800,NA,FALSE,NA,NA,NA,NA,"Expired","6TH ST","78702",30.2651056,-97.73155576,3,30,"February","March","2013","2013"
"Concrete Pouring","SEPTEMBER","Unknown",2019,NA,NA,7,NA,NA,NA,"CBD","2019-09-06",2019-09-03,2019-09-04,"Cierra Beltran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-09-06",FALSE,0,NA,NA,NA,"Expired","CESAR CHAVEZ ST","78701",30.26289901,-97.74155753,9,1,"September","September","2019","2019"
"Outdoor Music Venue",NA,"Other",2015,348,75,NA,NA,NA,NA,"CBD",NA,2015-06-29,2015-07-19,"Viktor Auzenne","00","10","22","10","00","10","22","10","23","10","22","10","22","10","No",1600,NA,FALSE,NA,NA,NA,NA,"Expired","RAINEY ST","78701",30.25795575,-97.73893073,9,20,"June","July","2015","2015"
"Concrete Pouring","NOVEMBER","Unknown",2024,NA,NA,7,NA,NA,NA,"CBD","2024-11-15",2024-11-13,2024-11-14,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-11-15",FALSE,0,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26165379,-97.73914502,9,1,"November","November","2024","2024"
"Advertising Sound Amplification","MAY","Other",2012,NA,85,NA,NA,NA,22,"CS-1-CO","2012-06-28",2012-04-30,2012-05-17,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-05-25",FALSE,NA,NA,NA,12,"Expired","SB MOPAC EXPY SVRD","78759",30.41942218,-97.70575978,7,17,"April","May","2012","2012"
"Advertising Sound Amplification","MARCH","Other",2013,NA,85,NA,NA,NA,0,"DMU","2013-03-14",2013-02-13,2013-04-02,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-03-11",TRUE,NA,NA,NA,10,"Expired","6TH ST","78703",30.27121145,-97.75223126,9,47.9583333333333,"February","April","2013","2013"
"Government Amplified Sound","OCTOBER","Other",2010,NA,85,NA,NA,NA,21,"CBD","2010-10-06",2010-09-27,2010-09-27,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-10-06",FALSE,NA,NA,NA,17,"Expired","CESAR CHAVEZ ST","78701",30.26612527,-97.75178107,9,0,"September","September","2010","2010"
"Government Amplified Sound","SEPTEMBER","Other",2011,NA,85,NA,NA,NA,12,"PUD","2011-09-24",2011-09-19,2011-09-20,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-09-24",FALSE,NA,NA,NA,9,"Expired","MUELLER BLVD","78723",30.29720616,-97.7073439,9,1,"September","September","2011","2011"
"Concrete Pouring","FEBRUARY","Unknown",2014,NA,NA,6,NA,NA,NA,"CBD","2014-02-08",2014-01-31,2014-01-31,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-06",FALSE,19,NA,NA,NA,"Expired","4TH ST","78701",30.2643477,-97.73622424,9,0,"January","January","2014","2014"
"Concrete Pouring","FEBRUARY","Unknown",2013,NA,NA,6,NA,NA,NA,"CBD","2013-02-28",2013-02-25,2013-02-25,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-02-26",FALSE,19,NA,NA,NA,"Expired","2ND ST","78701",30.26438581,-97.74340598,9,0,"February","February","2013","2013"
"Concrete Pouring","JUNE","Unknown",2022,NA,NA,6,NA,NA,NA,"CBD","2022-06-25",2022-06-23,2022-06-23,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-24",FALSE,0,NA,NA,NA,"Expired","RED RIVER ST","78701",30.27196235,-97.73495155,9,0,"June","June","2022","2022"
"Concrete Pouring","OCTOBER","Unknown",2019,NA,NA,6,NA,NA,NA,"CBD","2019-10-03",2019-09-30,2019-10-01,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-10-02",FALSE,1,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26080367,-97.73886053,9,1,"September","October","2019","2019"
"Concrete Pouring","AUGUST","Unknown",2015,NA,NA,6,NA,NA,NA,"CBD","2015-08-07",2015-08-05,2015-08-05,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-08-05",FALSE,2,NA,NA,NA,"Expired","2ND ST","78701",30.26594737,-97.74923206,9,0,"August","August","2015","2015"
"Concrete Pouring","AUGUST","Unknown",2009,NA,NA,6,NA,NA,NA,"CBD","2009-08-29",2009-05-29,2009-06-02,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-08-26",FALSE,19,NA,NA,NA,"Expired","LAVACA ST","78701",30.26533402,-97.74664086,9,4,"May","June","2009","2009"
"Private Sound Amplification","APRIL","Residential",2021,NA,75,NA,NA,15,NA,"CS-CO-NCCD-NP","2021-04-04",2021-03-15,2021-04-01,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-04-04",FALSE,NA,NA,10,NA,"Expired","CONGRESS AVE","78704",30.24826225,-97.74961663,9,17,"March","April","2021","2021"
"Concrete Pouring","APRIL","Unknown",2014,NA,NA,6,NA,NA,NA,"CBD","2014-04-13",2014-04-09,2014-04-09,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-04-10",FALSE,1,NA,NA,NA,"Expired","5TH ST","78701",30.26647782,-97.74022892,9,0,"April","April","2014","2014"
"Concrete Pouring","FEBRUARY","Unknown",2024,NA,NA,7,NA,NA,NA,"CBD","2024-02-21",2024-02-20,2024-02-20,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-02-21",FALSE,0,NA,NA,NA,"Expired","RED RIVER ST","78701",30.26165379,-97.73914502,9,0,"February","February","2024","2024"
"Concrete Pouring","APRIL","Unknown",2023,NA,NA,6,NA,NA,NA,"CBD","2023-04-11",2023-04-10,2023-04-10,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-04-11",FALSE,0,NA,NA,NA,"Expired","4TH ST","78701",30.267067,-97.74760834,9,0,"April","April","2023","2023"
"Government Amplified Sound","OCTOBER","Other",2012,NA,85,NA,NA,22,NA,"GO","2012-10-14",2012-10-10,2012-10-11,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-10-14",FALSE,NA,NA,10,NA,"Expired","2ND HALF ST","78702",30.25681217,-97.71974338,3,1,"October","October","2012","2012"
"Outdoor Music Venue",NA,"6th",2024,NA,85,NA,NA,NA,NA,"CBD",NA,2024-02-26,2024-05-04,"Bryan Walker","02","10","02","10","02","10","02","10","02","10","02","10","02","10","No",2000,NA,FALSE,NA,NA,NA,NA,"Approved","RED RIVER ST","78701",30.26715137,-97.73668429,9,67.9583333333333,"February","May","2024","2024"
"Concrete Pouring","SEPTEMBER","Unknown",2022,NA,NA,6,NA,NA,NA,"CBD","2022-09-10",2022-09-01,2022-09-02,"Bryan Walker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-09-09",FALSE,2,NA,NA,NA,"Expired","SABINE ST","78701",30.27119524,-97.73442085,9,1,"September","September","2022","2022"
"Outdoor Music Venue",NA,"Other",2020,NA,75,NA,NA,NA,NA,"LI",NA,2020-12-23,2021-01-20,"Bryan Walker","00","10","22","10","00","10","22","10","23","10","22","10","22","10","No",2500,NA,FALSE,NA,NA,NA,NA,"Expired","5TH ST","78703",30.27452033,-97.76497295,9,28,"December","January","2020","2021"
"Concrete Pouring","MARCH","Unknown",2013,NA,NA,6,NA,NA,NA,"CBD","2013-03-17",2013-03-14,2013-03-14,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-03-15",FALSE,2,NA,NA,NA,"Expired","2ND ST","78701",30.26438581,-97.74340598,9,0,"March","March","2013","2013"
"Concrete Pouring","NOVEMBER","Unknown",2014,NA,NA,6,NA,NA,NA,"CBD","2014-11-22",2014-11-19,2014-11-19,"Viktor Auzenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-11-20",FALSE,3,NA,NA,NA,"Expired","RAINEY ST","78701",30.26020456,-97.73793249,9,0,"November","November","2014","2014"
"Concrete Pouring","MARCH","Unknown",2010,NA,NA,6,NA,NA,NA,"CBD","2010-03-30",2010-01-11,2010-01-11,"Clara Hilling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-03-27",FALSE,19,NA,NA,NA,"Expired","LAVACA ST","78701",30.26533402,-97.74664086,9,0,"January","January","2010","2010"
