SUB_TYPE,APPLICANT_ORGANIZATION,IN_DATE,ISSUE_DATE
Advertising Sound Amplification,,3/5/2013,4/2/2013
Concrete Pouring,JE Dunn Construction,7/15/2015,7/15/2015
Advertising Sound Amplification,High Beams Events,2/8/2017,3/7/2017
Concrete Pouring,JE Dunn Construction,3/8/2022,3/8/2022
Concrete Pouring,SJL CONST OF TX LTD,1/31/2014,1/31/2014
Concrete Pouring,"Greystar Development & Construction, LP",7/28/2022,7/28/2022
Concrete Pouring,TAS Commercial Concrete Construction LLC,9/15/2021,
Concrete Pouring,DPR Construction,11/13/2018,11/13/2018
Private Sound Amplification,Fresa's Dos,9/22/2022,9/30/2022
Concrete Pouring,Tribble & Stephens Construction,2/25/2014,2/25/2014
Advertising Sound Amplification,High Beam Events,3/7/2017,3/7/2017
Government Amplified Sound,Giant Noise,9/17/2014,
Private Sound Amplification,Dream Convention,7/11/2023,7/25/2023
Private Sound Amplification,GSD&M,2/14/2017,3/9/2017
Concrete Pouring,Beck Commercial Construction LLC,9/19/2016,9/19/2016
Advertising Sound Amplification,Kapa Delta Sorority,2/18/2016,
Concrete Pouring,"Greystar Development & Construction, LP",10/17/2022,10/18/2022
Concrete Pouring,Capform Inc,10/16/2017,10/16/2017
Concrete Pouring,Austin Commercial,5/10/2018,5/10/2018
Advertising Sound Amplification,SXSW,10/24/2014,10/28/2014
Concrete Pouring,Harvey-Cleary,8/5/2024,8/6/2024
Concrete Pouring,SJL Const of TX LTD,3/28/2014,3/28/2014
Advertising Sound Amplification,Doc's Motorworks Bar & Grill,12/18/2015,3/4/2016
Outdoor Music Venue,Javelina Bar,5/28/2021,6/17/2021
Concrete Pouring,Baker Concrete Construction,7/5/2022,7/5/2022
Concrete Pouring,DPR Construction,8/1/2023,8/1/2023
Concrete Pouring,Baker Concrete Construction,8/19/2021,
Concrete Pouring,McClone Construction Company,2/2/2021,2/11/2021
Concrete Pouring,Capform Inc,11/30/2022,11/30/2022
Outdoor Music Venue,Half Step,2/17/2022,9/2/2022
Concrete Pouring,Beck Commercial Construction LLC,1/11/2016,1/11/2016
Concrete Pouring,W Hotels,5/29/2009,6/2/2009
Advertising Sound Amplification,,1/28/2016,3/15/2016
Concrete Pouring,JE Dunn,2/28/2023,3/1/2023
Concrete Pouring,JE Dunn,12/4/2023,12/4/2023
Concrete Pouring,TAS Commercial Concrete Construction LLC,4/28/2021,4/28/2021
Outdoor Music Venue,Unbarlievable,9/15/2021,11/5/2021
Outdoor Music Venue,,2/24/2023,5/26/2023
Concrete Pouring,JE Dunn Construction,4/20/2022,4/20/2022
Concrete Pouring,DPR Construction,6/27/2019,6/27/2019
Concrete Pouring,JE Dunn Construction,5/4/2021,5/4/2021
Concrete Pouring,JE Dunn Construction,6/15/2020,6/15/2020
Outdoor Music Venue,Bangers Austin LP,9/8/2017,10/16/2017
Concrete Pouring,United Forming,4/7/2022,4/8/2022
Concrete Pouring,,7/18/2012,7/18/2012
Concrete Pouring,,2/22/2022,2/22/2022
Outdoor Music Venue,,4/4/2016,4/21/2016
Outdoor Music Venue,,7/15/2021,8/20/2021
Concrete Pouring,SJL Const of TX LTD,9/11/2014,9/11/2014
Outdoor Music Venue,,12/1/2017,1/19/2018
Concrete Pouring,DPR Construction,9/25/2018,9/25/2018
Outdoor Music Venue,,2/18/2014,3/7/2014
Concrete Pouring,JE Dunn,3/23/2023,3/23/2023
Outdoor Music Venue,,7/19/2024,9/4/2024
Concrete Pouring,"Greystar Development & Construction, LP",6/9/2022,6/9/2022
Outdoor Music Venue,,3/31/2011,4/29/2011
Concrete Pouring,Capform Inc,5/14/2018,5/14/2018
Concrete Pouring,"Greystar Development & Construction, LP",5/24/2022,5/24/2022
Outdoor Music Venue,Oilcan Harry S,8/26/2016,10/28/2016
Outdoor Music Venue,Rain on 4th,9/25/2017,12/8/2017
Advertising Sound Amplification,Home Slice Pizza,11/14/2011,11/14/2011
Concrete Pouring,Beck Commercial Construction LLC,5/20/2016,5/20/2016
Concrete Pouring,W Hotels,1/11/2010,1/11/2010
Concrete Pouring,Largo Concrete,8/21/2013,8/21/2013
Advertising Sound Amplification,The Electric Company,2/13/2017,3/9/2017
Concrete Pouring,Capform Inc,11/17/2023,11/17/2023
Concrete Pouring,Rogers Obrien Const Co,12/11/2019,12/13/2019
Advertising Sound Amplification,South Sound Productions,5/23/2014,6/11/2014
Advertising Sound Amplification,Empire Room,3/3/2010,3/17/2010
Concrete Pouring,JE Dunn Construction,3/18/2022,3/18/2022
Concrete Pouring,Harvey-Cleary,7/6/2023,7/6/2023
Concrete Pouring,Baker Concrete Construction,5/11/2022,5/11/2022
Private Sound Amplification,Ethan Lee Smith,2/17/2010,2/17/2010
Outdoor Music Venue,Shangri-La,6/14/2019,7/12/2019
Outdoor Music Venue,The Porch at Austin City Limits Live,5/4/2011,7/5/2011
Concrete Pouring,Gilbane,1/12/2018,1/12/2018
Outdoor Music Venue,Opal Divine's Penn Field,2/9/2011,4/13/2011
Concrete Pouring,DPR Construction,10/3/2019,10/3/2019
Outdoor Music Venue,,11/27/2017,1/26/2018
Outdoor Music Venue,,10/28/2024,
Outdoor Music Venue,Beauty Bar,1/27/2011,
Advertising Sound Amplification,Apparition Skateboard,4/8/2014,4/21/2014
Advertising Sound Amplification,Lomography Austin,2/5/2013,
Concrete Pouring,DPR Construction,8/27/2018,8/27/2018
Concrete Pouring,Austin Commercial,9/6/2017,9/6/2017
Outdoor Music Venue,Rain on 4th,5/7/2019,5/24/2019
Outdoor Music Venue,Mueller Master Community,3/14/2023,5/9/2024
Private Sound Amplification,Austin Community College,4/19/2022,4/21/2022
Concrete Pouring,Gilbane,2/15/2017,2/15/2017
Concrete Pouring,United Forming,5/24/2022,5/24/2022
Moving Vehicle,CanWeNetwork LLC,1/16/2014,1/21/2014
Outdoor Music Venue,,3/26/2015,4/21/2015
Concrete Pouring,DPR Construction,4/26/2024,4/29/2024
Advertising Sound Amplification,High Beam Events,3/10/2011,3/10/2011
Concrete Pouring,Ryan Companies US INC,2/6/2020,2/6/2020
Outdoor Music Venue,,5/3/2013,9/20/2013
Outdoor Music Venue,75 1/2 Rainey Street LLC dba HALF STEP,6/4/2019,9/13/2019
Concrete Pouring,"Greystar Development & Construction, LP",6/15/2022,6/15/2022
Concrete Pouring,JE Dunn Construction,8/14/2020,8/15/2020
Concrete Pouring,Austin Commercial,9/12/2017,9/12/2017
Concrete Pouring,JE Dunn Construction,3/21/2022,3/22/2022
Outdoor Music Venue,,10/5/2015,10/22/2015
Outdoor Music Venue,La Condesa,2/11/2022,3/1/2022
Concrete Pouring,DPR Construction,11/3/2020,11/3/2020
Concrete Pouring,DPR Construction,2/2/2024,2/2/2024
Advertising Sound Amplification,Netspend Corporation,11/6/2017,11/6/2017
Outdoor Music Venue,,10/27/2010,1/18/2011
Concrete Pouring,Hensel Phelps,10/13/2014,10/13/2014
Outdoor Music Venue,,7/27/2015,3/17/2016
Advertising Sound Amplification,HEART OF TEXAS ROCKFEST,12/26/2012,3/1/2013
Concrete Pouring,SJL CONST OF TX LTD,2/18/2014,2/18/2014
Advertising Sound Amplification,Liberty ATX LLC,6/17/2014,6/18/2014
Concrete Pouring,Beck Commercial Construction LLC,2/5/2016,2/5/2016
Outdoor Music Venue,,2/16/2024,
Outdoor Music Venue,,12/4/2020,12/31/2020
Outdoor Music Venue,,6/17/2019,9/19/2019
Outdoor Music Venue,,9/9/2014,11/1/2014
Advertising Sound Amplification,EAST BY NORTHEAST,2/21/2012,2/21/2012
Concrete Pouring,Keystone Concrete Placement,9/18/2020,9/18/2020
Concrete Pouring,DPR Construction,6/22/2017,6/22/2017
Concrete Pouring,JE Dunn Construction,7/15/2015,7/15/2015
Concrete Pouring,Keystone Concrete Placement,9/11/2023,9/13/2023
Concrete Pouring,DPR Construction,12/21/2022,12/21/2022
Outdoor Music Venue,,7/19/2018,8/14/2018
Outdoor Music Venue,Austin Public Library - Central Library,5/9/2024,7/30/2024
Advertising Sound Amplification,,2/21/2014,3/12/2014
Concrete Pouring,Beck Commercial Construction LLC,10/27/2016,10/27/2016
Advertising Sound Amplification,Colorado Street Managers,2/3/2015,
Advertising Sound Amplification,415 Productions LLC,2/3/2016,4/22/2016
Outdoor Music Venue,LITTLE WOODROW'S HOLDING INC,4/24/2012,5/15/2012
Concrete Pouring,The Beck Group,7/6/2022,7/6/2022
Outdoor Music Venue,,9/30/2020,10/29/2020
Advertising Sound Amplification,"Weird Times, LLC",3/10/2010,3/10/2010
Outdoor Music Venue,Cheer Up Charlies LLC,2/13/2013,5/17/2013
Concrete Pouring,,7/31/2013,7/31/2013
Concrete Pouring,Holder Construction Company,6/12/2019,6/13/2019
Concrete Pouring,W Hotels,9/3/2009,9/3/2009
Public Sound Amplification,The Parkside Dentist,10/19/2012,
Private Sound Amplification,,3/1/2018,3/1/2018
Concrete Pouring,United Forming,5/6/2022,5/6/2022
Concrete Pouring,JE Dunn Construction,2/7/2022,2/7/2022
Concrete Pouring,Keystone Concrete Placement,3/7/2023,3/8/2023
Concrete Pouring,Hensel Phelps Construction,11/12/2020,11/12/2020
Outdoor Music Venue,Unbarlievable,2/13/2017,3/14/2017
Concrete Pouring,JE Dunn Construction,3/30/2015,3/30/2015
Moving Vehicle,,12/4/2014,12/4/2014
Government Amplified Sound,Downtown Austin Alliance,11/18/2010,11/18/2010
Concrete Pouring,DPR Construction,9/15/2023,9/18/2023
Outdoor Music Venue,,11/12/2024,12/27/2024
Concrete Pouring,DPR Construction,6/11/2020,6/11/2020
Concrete Pouring,W Hotels,5/28/2009,5/29/2009
Outdoor Music Venue,The Rooftop on Sixth LLC,2/20/2020,8/28/2020
Outdoor Music Venue,MML Hospitality,7/28/2022,11/28/2022
Private Sound Amplification,Arthouse At The Jones Center,4/14/2011,
Outdoor Music Venue,W Austin,3/13/2018,7/11/2018
Outdoor Music Venue,,12/21/2022,2/7/2023
Private Sound Amplification,ST. EDWARD'S UNIVERSITY - STUDENT LIFE,9/7/2012,9/7/2012
Advertising Sound Amplification,HEART OF TEXAS ROCKFEST,1/5/2017,3/10/2017
Outdoor Music Venue,,5/16/2017,6/21/2017
Concrete Pouring,Largo Concrete,1/25/2022,1/28/2022
Advertising Sound Amplification,,2/18/2014,2/25/2014
Outdoor Music Venue,,6/14/2021,10/6/2022
Advertising Sound Amplification,Insights N America,4/16/2015,5/8/2015
Concrete Pouring,Keystone Concrete Placement,11/13/2023,11/13/2023
Outdoor Music Venue,Gayatri Inc,2/10/2016,3/18/2016
Private Sound Amplification,Fresa's South First,11/4/2024,11/19/2024
Public Sound Amplification,,7/18/2018,7/18/2018
Concrete Pouring,DPR Construction,6/6/2023,6/6/2023
Outdoor Music Venue,Baby Acapulco Restaurant,6/10/2015,7/20/2015
Advertising Sound Amplification,Comfort Suites NW Lakeline,11/18/2015,11/19/2015
